ZipCode,Region,Division,StateFullName,State,StateANSI,CSA Name,CSA Code,MSA_Name,MSAANSI,County,CountyANSI
99103,West,Pacific,Washington,WA,53,,,,,LINCOLN,43
99104,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99105,West,Pacific,Washington,WA,53,"Moses Lake-Othello, WA",393,,,ADAMS,1
99107,West,Pacific,Washington,WA,53,,,,,FERRY,19
99109,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99110,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99111,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99113,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99114,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99115,West,Pacific,Washington,WA,53,"Moses Lake-Othello, WA",393,,,GRANT,25
99116,West,Pacific,Washington,WA,53,,,,,OKANOGAN,47
99117,West,Pacific,Washington,WA,53,,,,,LINCOLN,43
99118,West,Pacific,Washington,WA,53,,,,,FERRY,19
99119,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,PEND OREILLE,51
99121,West,Pacific,Washington,WA,53,,,,,FERRY,19
99122,West,Pacific,Washington,WA,53,,,,,LINCOLN,43
99123,West,Pacific,Washington,WA,53,"Moses Lake-Othello, WA",393,,,GRANT,25
99124,West,Pacific,Washington,WA,53,,,,,OKANOGAN,47
99125,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99126,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99128,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99129,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99130,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99131,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99133,West,Pacific,Washington,WA,53,"Moses Lake-Othello, WA",393,,,GRANT,25
99134,West,Pacific,Washington,WA,53,,,,,LINCOLN,43
99135,West,Pacific,Washington,WA,53,"Moses Lake-Othello, WA",393,,,GRANT,25
99136,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99137,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99138,West,Pacific,Washington,WA,53,,,,,FERRY,19
99139,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,PEND OREILLE,51
99140,West,Pacific,Washington,WA,53,,,,,FERRY,19
99141,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99143,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99144,West,Pacific,Washington,WA,53,,,,,LINCOLN,43
99146,West,Pacific,Washington,WA,53,,,,,FERRY,19
99147,West,Pacific,Washington,WA,53,,,,,LINCOLN,43
99148,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99149,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99150,West,Pacific,Washington,WA,53,,,,,FERRY,19
99151,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99152,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,PEND OREILLE,51
99153,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,PEND OREILLE,51
99154,West,Pacific,Washington,WA,53,,,,,LINCOLN,43
99155,West,Pacific,Washington,WA,53,,,,,OKANOGAN,47
99156,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,PEND OREILLE,51
99157,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99158,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99159,West,Pacific,Washington,WA,53,,,,,LINCOLN,43
99160,West,Pacific,Washington,WA,53,,,,,FERRY,19
99161,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
