id,partner_id,partner_question_id,partner_question_name,question_type,logic_group,order,skipped_answer_id,ignore,behavior,created
120,0,32353,STANDARD_CANADA_ETHNICITY,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
121,0,39117,STANDARD_KID_AGE_GENDER,Grid,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
122,0,39122,STANDARD_KID_AVAILABILITY,Single Punch,children,5,1515,0,NULL,2016-07-13 00:10:41
123,0,48741,STANDARD_EDUCATION_v2,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
124,0,12370,Fulcrum_ZIP_UK,Text - Open-end,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
125,0,12452,Fulcrum_Region_UK_NUTS_I,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
126,0,12453,Fulcrum_Region_UK_NUTS_II,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
127,0,30282,Standard_Travel_DM,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
128,0,31271,Painkillers,Multi Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
129,0,31274,FMCG Product Usage,Multi Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
130,0,34430,STANDARD_UK_ETHNICITY,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
131,0,43501,STANDARD_WEBCAM,Single Punch,NULL,NULL,NULL,0,qualifier,2016-07-13 00:10:41
132,0,45,ZIP,Numeric - Open-end,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:42
133,0,47,HISPANIC,Single Punch,NULL,NULL,NULL,0,prefer,2016-07-13 00:10:42
134,0,96,STATE,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
135,0,97,DMA,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
136,0,98,COUNTY,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
137,0,101,DIVISION,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
138,0,113,ETHNICITY,Single Punch,NULL,NULL,NULL,0,prefer,2016-07-13 00:10:42
139,0,120,MSA,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
140,0,122,REGION,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
141,0,634,STANDARD_VOTE,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:42
142,0,3727,CAR_MODEL_US_STANDARD,Single Punch,car,8,2289,0,NULL,2016-07-13 00:10:42
143,0,4183,SUPPLIER_ID,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
144,0,7062,MS_device_type_Non_Wurfl,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
145,0,8210,MS_brand_name,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
146,0,8219,MS_full_flash_support,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
147,0,14785,STANDARD_HHI_US,Single Punch,NULL,NULL,NULL,1,prefer,2016-07-13 00:10:42
148,0,23334,Diagnosed Allergy 1,Single Punch,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
149,0,23415,STANDARD_RELIGION,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:42
150,0,25638,Appliances Owned,Multi Punch,buy,1,NULL,0,NULL,2016-07-13 00:10:42
151,0,25639,Appliances Intention,Multi Punch,buy,2,NULL,0,NULL,2016-07-13 00:10:42
152,0,25640,Financial Product,Multi Punch,buy,3,NULL,0,NULL,2016-07-13 00:10:42
153,0,26691,P4W GROCERY PURCHASING,Multi Punch,buy,4,NULL,0,NULL,2016-07-13 00:10:42
154,0,26699,P6M SYMPTOMS EXPERIENCED,Multi Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:42
155,0,27940,FEMININE_MEDICATION_P6M,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:42
156,0,28289,Big Ticket Purchases,Multi Punch,buy,5,NULL,0,NULL,2016-07-13 00:10:42
157,0,32350,STANDARD_POLITICAL_PARTY,Single Punch,NULL,NULL,NULL,0,prefer,2016-07-13 00:10:42
158,0,32352,STANDARD_HISPANIC_ACCULTURATION,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:42
159,0,32355,STANDARD_AUTO_MAKER,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:42
160,0,37594,Linkedin_Authorization,Single Punch,NULL,NULL,NULL,0,qualifier,2016-07-13 00:10:42
161,0,37596,LinkedIn_AuthStatus,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
162,0,37599,Linkedin_Industry,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
163,0,37600,Linkedin_Position,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
164,0,37601,Linkedin_Location,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
165,0,41517,ANES Public Opinion,Single Punch,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
166,0,42955,Joey Pixel Placeholder,Single Punch,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
167,0,46798,Political_FEC_07_08,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:42
